tail_number,model_name,delivery_location ,army_command,unit_name ,current_location,contract_number,delivery_date,Remark ,active_status,warranty_period,formation
JF-2(202),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(203),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(204),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(205),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(206),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(207),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(208),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(209),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(210),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(211),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(212),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(213),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(214),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(215),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(216),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(217),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(218),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(219),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
JF-2(220),JF-2,Narangi Cantt,Eastern Command,222 ABOD,Narangi Cantt,GEMC-511687779196553 DT 17 May 2025,02/11/2025,,TRUE,24
